name                    	time	value	rate	unit	path
"relativeCarbonAllocation2Shoot"    	2.000	0.00000000	NA	"100%"	"//bean2"
"reserves"                          	2.000	0.12799069	-0.04755994	"g"	"//bean2"
"rootCarbonCostOfBiologicalNitrogenFixation"	2.000	0.00047379	0.00052788	"g"	"//bean2"
"rootCarbonCostOfExudates"          	2.000	0.00008172	0.00007868	"g"	"//bean2"
"rootCarbonCostOfNutrientUptake"    	2.000	0.00010971	0.00011360	"g"	"//bean2"
"rootCarbonCosts"                   	2.000	0.00066522	0.00072015	"g"	"//bean2"
"rootDryWeight"                     	2.000	0.06208491	NA	"g"	"//bean2"
"rootGrowthScalingFactor"           	2.000	1.00000000	0.00000000	"100%"	"//bean2"
"rootGrowthScalingFactor;majorAxis" 	2.000	1.00000000	0.00000000	"100%"	"//bean2"
"rootLength"                        	2.000	9.71400000	NA	"cm"	"//bean2"
"rootLongitudinalGrowth"            	2.000	9.71400000	5.35700000	"cm"	"//bean2"
"rootPotentialCarbonSinkForGrowth"  	2.000	0.02791743	0.01669686	"g"	"//bean2"
"rootPotentialCarbonSinkForGrowth;majorAxis"	2.000	0.02784642	0.01658100	"g"	"//bean2"
"rootRespiration"                   	2.000	0.00382136	0.00398496	"g"	"//bean2"
"rootSecondaryPotentialCarbonSinkForGrowth"	2.000	0.00007102	0.00011587	"g"	"//bean2"
"rootSurfaceArea"                   	2.000	7.63159353	NA	"cm2"	"//bean2"
"rootVolume"                        	2.000	0.66047780	NA	"cm3"	"//bean2"
"rootWaterUptake"                   	2.000	0.00000000	0.00000000	"cm3"	"//bean2"
"secondaryRootGrowthScalingFactor"  	2.000	1.00000000	0.00000000	"100%"	"//bean2"
"shootDryWeight"                    	2.000	0.00000000	NA	"g"	"//bean2"
"shootPotentialCarbonSinkForGrowth" 	2.000	0.00000000	0.00000000	"g"	"//bean2"
"shootRespiration"                  	2.000	0.00000000	0.00000000	"g"	"//bean2"
"stressFactor"                      	2.000	1.00000000	NA	"noUnit"	"//bean2"
"RootLengthProfile_00-10"           	2.000	7.91400000	NA	"cm"	"//soil"
"RootLengthProfile_10-20"           	2.000	0.00000000	NA	"cm"	"//soil"
"RootLengthProfile_20-30"           	2.000	0.00000000	NA	"cm"	"//soil"
"RootLengthProfile_30-40"           	2.000	0.00000000	NA	"cm"	"//soil"
"RootLengthProfile_40-50"           	2.000	0.00000000	NA	"cm"	"//soil"
"RootLengthProfile_50-60"           	2.000	0.00000000	NA	"cm"	"//soil"
"RootLengthProfile_60-70"           	2.000	0.00000000	NA	"cm"	"//soil"
"RootLengthProfile_70-80"           	2.000	0.00000000	NA	"cm"	"//soil"
"RootLengthProfile_80-90"           	2.000	0.00000000	NA	"cm"	"//soil"
"RootLengthProfile_90+"             	2.000	0.00000000	NA	"cm"	"//soil"
"D90"                               	2.000	-133.00000000	NA	"cm"	"//soil/nitrate"
"rootLengthDensityInMiddleCore_04"  	2.000	0.00000000	NA	"cm/cm3"	"//soil"
"rootLengthDensityInMiddleCore_12"  	2.000	0.00000000	NA	"cm/cm3"	"//soil"
"rootLengthDensityInMiddleCore_20"  	2.000	0.00000000	NA	"cm/cm3"	"//soil"
"rootLengthDensityInMiddleCore_28"  	2.000	0.00000000	NA	"cm/cm3"	"//soil"
"rootLengthDensityInMiddleCore_36"  	2.000	0.00000000	NA	"cm/cm3"	"//soil"
"D90"                               	3.000	-7.87604333	NA	"cm"	"//bean2"
"carbonAllocation2Roots"            	3.000	0.03937614	0.00622753	"g"	"//bean2"
"carbonAllocation2Shoot"            	3.000	0.00158418	0.00320255	"g"	"//bean2"
"carbonAvailableForGrowth"          	3.000	0.04096032	0.00943008	"g"	"//bean2"
"carbonReserves"                    	3.000	0.00000043	0.00000000	"g"	"//bean2"
"nutrientStressFactor"              	3.000	1.00000000	0.00000000	"100%"	"//bean2/nitrate"
"plantMinimalNutrientContent"       	3.000	56.47845280	NA	"umol"	"//bean2/nitrate"
"plantNutrientFixation"             	3.000	24.37379069	9.61722207	"umol"	"//bean2/nitrate"
"plantNutrientUptake"               	3.000	730.81234825	9.33477192	"umol"	"//bean2/nitrate"
"plantOptimalNutrientContent"       	3.000	112.84652399	NA	"umol"	"//bean2/nitrate"
"rootsBelowD90ForNutrient"          	3.000	0.00000000	NA	"cm"	"//bean2/nitrate"
"plantCarbonBalance"                	3.000	-0.00004665	NA	"g"	"//bean2"
"plantCarbonIncome"                 	3.000	0.05064423	0.01483109	"g"	"//bean2"
"plantDryWeight"                    	3.000	0.09112659	NA	"g"	"//bean2"
"carbonAllocation2Leafs"            	3.000	0.00108827	0.00219375	"g"	"//bean2/plantPosition/shoot"
"carbonAllocation2Stems"            	3.000	0.00049661	0.00100880	"g"	"//bean2/plantPosition/shoot"
"leafArea"                          	3.000	1.50091902	3.00000000	"cm2"	"//bean2/plantPosition/shoot"
"leafAreaIndex"                     	3.000	0.00227412	NA	"cm2/cm2"	"//bean2/plantPosition/shoot"
"leafAreaReductionCoefficient"      	3.000	1.00000000	NA	"cm2/cm2"	"//bean2/plantPosition/shoot"
"leafDryWeight"                     	3.000	0.00241731	0.00487500	"g"	"//bean2/plantPosition/shoot"
"leafPotentialCarbonSinkForGrowth"  	3.000	0.00108750	0.00219375	"g"	"//bean2/plantPosition/shoot"
"leafRespiration"                   	3.000	0.00003274	0.00009669	"g"	"//bean2/plantPosition/shoot"
"lightInterception"                 	3.000	8.17845869	NA	"umol/cm2/day"	"//bean2/plantPosition/shoot"
"photosynthesis"                    	3.000	0.00069777	0.00205116	"g"	"//bean2/plantPosition/shoot"
"potentialLeafArea"                 	3.000	1.50000000	3.00000000	"cm2"	"//bean2/plantPosition/shoot"
"potentialTranspiration"            	3.000	0.06977530	0.20511574	"cm3"	"//bean2/plantPosition/shoot"
"relativeCarbonAllocation2Leafs"    	3.000	0.68500000	NA	"100%"	"//bean2/plantPosition/shoot"
"relativeCarbonAllocation2Stems"    	3.000	0.31500000	NA	"100%"	"//bean2/plantPosition/shoot"
"stemDryWeight"                     	3.000	0.00110382	0.00224179	"g"	"//bean2/plantPosition/shoot"
"stemPotentialCarbonSinkForGrowth"  	3.000	0.00049640	0.00100880	"g"	"//bean2/plantPosition/shoot"
"stemRespiration"                   	3.000	0.00001637	0.00004835	"g"	"//bean2/plantPosition/shoot"
"stressAdjustedPotentialLeafArea"   	3.000	1.50000000	3.00000000	"cm2"	"//bean2/plantPosition/shoot"
"plantPotentialCarbonSinkForGrowth" 	3.000	0.04095945	0.00943008	"g"	"//bean2"
"plantRespiration"                  	3.000	0.00834351	0.00477414	"g"	"//bean2"
"relativeCarbonAllocation2Roots"    	3.000	0.66038947	NA	"100%"	"//bean2"
"relativeCarbonAllocation2Shoot"    	3.000	0.33961053	NA	"100%"	"//bean2"
"reserves"                          	3.000	0.08900815	-0.02839985	"g"	"//bean2"
"rootCarbonCostOfBiologicalNitrogenFixation"	3.000	0.00092660	0.00037988	"g"	"//bean2"
"rootCarbonCostOfExudates"          	3.000	0.00017934	0.00011705	"g"	"//bean2"
"rootCarbonCostOfNutrientUptake"    	3.000	0.00023403	0.00012994	"g"	"//bean2"
"rootCarbonCosts"                   	3.000	0.00133997	0.00062687	"g"	"//bean2"
"rootDryWeight"                     	3.000	0.08760546	NA	"g"	"//bean2"
"rootGrowthScalingFactor"           	3.000	1.00000000	0.00000000	"100%"	"//bean2"
"rootGrowthScalingFactor;majorAxis" 	3.000	1.00000000	0.00000000	"100%"	"//bean2"
"rootLength"                        	3.000	14.07100000	NA	"cm"	"//bean2"
"rootLongitudinalGrowth"            	3.000	14.07100000	3.35700000	"cm"	"//bean2"
"rootPotentialCarbonSinkForGrowth"  	3.000	0.03937527	0.00622753	"g"	"//bean2"
"rootPotentialCarbonSinkForGrowth;majorAxis"	3.000	0.03911184	0.00594985	"g"	"//bean2"
"rootRespiration"                   	3.000	0.00829440	0.00462910	"g"	"//bean2"
"rootSecondaryPotentialCarbonSinkForGrowth"	3.000	0.00026343	0.00027768	"g"	"//bean2"
"rootSurfaceArea"                   	3.000	10.84723519	NA	"cm2"	"//bean2"
"rootVolume"                        	3.000	0.93197300	NA	"cm3"	"//bean2"
"rootWaterUptake"                   	3.000	0.05151953	0.14972239	"cm3"	"//bean2"
"secondaryRootGrowthScalingFactor"  	3.000	1.00000000	0.00000000	"100%"	"//bean2"
"shootDryWeight"                    	3.000	0.00352113	NA	"g"	"//bean2"
"shootPotentialCarbonSinkForGrowth" 	3.000	0.00158435	0.00320255	"g"	"//bean2"
"shootRespiration"                  	3.000	0.00004911	0.00014504	"g"	"//bean2"
"stressFactor"                      	3.000	1.00000000	NA	"noUnit"	"//bean2"
"RootLengthProfile_00-10"           	3.000	10.27100000	NA	"cm"	"//soil"
"RootLengthProfile_10-20"           	3.000	0.00000000	NA	"cm"	"//soil"
"RootLengthProfile_20-30"           	3.000	0.00000000	NA	"cm"	"//soil"
"RootLengthProfile_30-40"           	3.000	0.00000000	NA	"cm"	"//soil"
"RootLengthProfile_40-50"           	3.000	0.00000000	NA	"cm"	"//soil"
"RootLengthProfile_50-60"           	3.000	0.00000000	NA	"cm"	"//soil"
"RootLengthProfile_60-70"           	3.000	0.00000000	NA	"cm"	"//soil"
"RootLengthProfile_70-80"           	3.000	0.00000000	NA	"cm"	"//soil"
"RootLengthProfile_80-90"           	3.000	0.00000000	NA	"cm"	"//soil"
"RootLengthProfile_90+"             	3.000	0.00000000	NA	"cm"	"//soil"
"D90"                               	3.000	-133.00000000	NA	"cm"	"//soil/nitrate"
"rootLengthDensityInMiddleCore_04"  	3.000	0.00000000	NA	"cm/cm3"	"//soil"
"rootLengthDensityInMiddleCore_12"  	3.000	0.00000000	NA	"cm/cm3"	"//soil"
"rootLengthDensityInMiddleCore_20"  	3.000	0.00000000	NA	"cm/cm3"	"//soil"
"rootLengthDensityInMiddleCore_28"  	3.000	0.00000000	NA	"cm/cm3"	"//soil"
"rootLengthDensityInMiddleCore_36"  	3.000	0.00000000	NA	"cm/cm3"	"//soil"
"D90"                               	4.000	-9.26754897	NA	"cm"	"//bean2"
"carbonAllocation2Roots"            	4.000	0.04291566	0.00217082	"g"	"//bean2"
"carbonAllocation2Shoot"            	4.000	0.00593111	0.00551471	"g"	"//bean2"
"carbonAvailableForGrowth"          	4.000	0.04884678	0.00768552	"g"	"//bean2"
"carbonReserves"                    	4.000	0.00000247	0.00000000	"g"	"//bean2"
"nutrientStressFactor"              	4.000	1.00000000	0.00000000	"100%"	"//bean2/nitrate"
"plantMinimalNutrientContent"       	4.000	71.92014703	NA	"umol"	"//bean2/nitrate"
"plantNutrientFixation"             	4.000	33.49270405	9.53091129	"umol"	"//bean2/nitrate"
"plantNutrientUptake"               	4.000	740.98450423	10.90395611	"umol"	"//bean2/nitrate"
"plantOptimalNutrientContent"       	4.000	143.42294671	NA	"umol"	"//bean2/nitrate"
"rootsBelowD90ForNutrient"          	4.000	0.00000000	NA	"cm"	"//bean2/nitrate"
"plantCarbonBalance"                	4.000	-0.00005111	NA	"g"	"//bean2"
"plantCarbonIncome"                 	4.000	0.06386807	0.01306468	"g"	"//bean2"
